date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2020-01-06,23319.759766,23365.359375,23148.529297,23204.859375,23204.859375,72800000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-07,23320.119141,23577.439453,23299.919922,23575.720703,23575.720703,64300000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-08,23217.490234,23303.210938,22951.179688,23204.759766,23204.759766,79400000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-09,23530.289062,23767.089844,23506.150391,23739.869141,23739.869141,62200000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-10,23813.279297,23903.289062,23761.080078,23850.570312,23850.570312,55900000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-14,23969.039062,24059.859375,23951.660156,24025.169922,24025.169922,64200000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-15,23923.480469,23997.390625,23875.820312,23916.580078,23916.580078,57200000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-16,23960.199219,23975.380859,23905.380859,23933.130859,23933.130859,55400000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-17,24103.449219,24115.949219,24013.75,24041.259766,24041.259766,59400000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-20,24080.679688,24108.109375,24061.669922,24083.509766,24083.509766,38300000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-21,24072.810547,24081.75,23843.480469,23864.560547,23864.560547,44600000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-22,23835.490234,24040.869141,23831.099609,24031.349609,24031.349609,49000000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-23,23843.509766,23910.009766,23779.230469,23795.439453,23795.439453,55500000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-24,23850.119141,23869.380859,23755.320312,23827.179688,23827.179688,48700000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-27,23427.900391,23463.890625,23317.320312,23343.509766,23343.509766,62400000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-28,23126.929688,23243.359375,23115.150391,23215.710938,23215.710938,64400000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-29,23309.320312,23392.609375,23214.279297,23379.400391,23379.400391,54900000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-30,23284.580078,23318.570312,22892.949219,22977.75,22977.75,69600000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-01-31,23148.919922,23421.589844,23139.980469,23205.179688,23205.179688,75400000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-03,22874.269531,23023.730469,22775.919922,22971.939453,22971.939453,72500000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-04,22881.130859,23118.130859,22854.449219,23084.589844,23084.589844,67900000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-05,23351.470703,23414.689453,23241.640625,23319.560547,23319.560547,70300000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-06,23641.099609,23995.369141,23625.130859,23873.589844,23873.589844,95100000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-07,23899.009766,23943.449219,23759.419922,23827.980469,23827.980469,65400000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-10,23631.789062,23788.25,23621.720703,23685.980469,23685.980469,56500000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-12,23741.210938,23869.730469,23693.720703,23861.210938,23861.210938,74600000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-13,23849.759766,23908.849609,23784.310547,23827.730469,23827.730469,64500000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-14,23714.519531,23738.419922,23603.480469,23687.589844,23687.589844,69100000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-17,23489.779297,23561.980469,23335.990234,23523.240234,23523.240234,54000000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-18,23398.570312,23402.009766,23133.599609,23193.800781,23193.800781,59500000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-19,23329.330078,23468.560547,23234.960938,23400.699219,23400.699219,61600000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-20,23666.580078,23806.560547,23426.419922,23479.150391,23479.150391,63300000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-21,23427.769531,23588.550781,23378.330078,23386.740234,23386.740234,62100000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-25,22949.369141,22950.230469,22335.210938,22605.410156,22605.410156,105800000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-26,22374.140625,22456.550781,22127.419922,22426.189453,22426.189453,99300000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-27,22255.830078,22272.259766,21844.289062,21948.230469,21948.230469,106200000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-02-28,21518.009766,21528.130859,20916.400391,21142.960938,21142.960938,148500000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
2020-03-02,20849.789062,21593.109375,20834.289062,21344.080078,21344.080078,123700000.0,^N225,Nikkei 225,Japan,JPY,Yahoo Finance chart API
