date,open,high,low,close,adj_close,volume,symbol,name,region,currency,source
2017-01-03,3105.309082,3136.456055,3105.309082,3135.920898,3135.920898,141600.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-04,3133.787109,3160.103027,3130.11499,3158.793945,3158.793945,167900.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-05,3157.906006,3168.501953,3154.281006,3165.410889,3165.410889,174700.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-06,3163.775879,3172.034912,3153.024902,3154.321045,3154.321045,183700.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-09,3148.531982,3173.135986,3147.735107,3171.236084,3171.236084,171700.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-10,3167.570068,3174.577881,3157.332031,3161.670898,3161.670898,179800.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-11,3156.686035,3167.029053,3136.26709,3136.753906,3136.753906,178400.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-12,3133.602051,3144.969971,3115.979004,3119.289062,3119.289062,148900.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-13,3116.083008,3130.514893,3102.163086,3112.763916,3112.763916,156300.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-16,3104.491943,3105.14209,3044.291016,3103.427979,3103.427979,257900.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-17,3087.030029,3108.906982,3072.337891,3108.774902,3108.774902,136200.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-18,3104.766113,3123.719971,3098.585938,3113.011963,3113.011963,131800.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-19,3104.971924,3115.778076,3094.006104,3101.299072,3101.299072,123900.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-20,3095.819092,3125.659912,3095.215088,3123.138916,3123.138916,122400.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-23,3125.420898,3145.841064,3125.420898,3136.774902,3136.774902,132700.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-24,3134.592041,3149.531006,3131.218018,3142.552979,3142.552979,126000.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-25,3137.645996,3151.471924,3133.190918,3149.554932,3149.554932,112100.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-01-26,3149.217041,3163.104004,3148.907959,3159.166016,3159.166016,113900.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-03,3160.082031,3162.677002,3136.012939,3140.169922,3140.169922,92200.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-06,3143.093018,3158.843018,3135.386963,3156.983887,3156.983887,127200.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-07,3154.405029,3159.543945,3140.035889,3153.087891,3153.087891,128300.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-08,3148.085938,3167.447021,3132.032959,3166.981934,3166.981934,144900.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-09,3164.687988,3186.837891,3162.573975,3183.178955,3183.178955,191600.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-10,3183.00708,3205.049072,3182.802002,3196.698975,3196.698975,239300.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-13,3198.995117,3219.406982,3198.995117,3216.839111,3216.839111,220200.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-14,3216.136963,3219.405029,3205.284912,3217.927979,3217.927979,188800.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-15,3215.464111,3235.998047,3206.561035,3212.986084,3212.986084,241500.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-16,3210.356934,3230.274902,3207.784912,3229.61792,3229.61792,217000.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-17,3227.707031,3238.395996,3199.425049,3202.075928,3202.075928,226200.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-20,3198.962891,3241.458008,3198.962891,3239.960938,3239.960938,232200.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-21,3242.2229,3254.335938,3239.87793,3253.325928,3253.325928,211700.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-22,3252.689941,3261.381104,3243.840088,3261.218018,3261.218018,207500.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-23,3258.832031,3264.082031,3236.35498,3251.375,3251.375,209200.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-24,3246.860107,3253.956055,3233.534912,3253.433105,3253.433105,186400.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-27,3249.195068,3251.654053,3224.087891,3228.659912,3228.659912,182600.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-02-28,3225.968994,3242.678955,3225.968994,3241.73291,3241.73291,151200.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-03-01,3240.072998,3259.978027,3237.871094,3246.934082,3246.934082,190700.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-03-02,3250.518066,3256.806885,3228.665039,3230.028076,3230.028076,181200.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-03-03,3219.201904,3221.155029,3206.613037,3218.312012,3218.312012,157100.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-03-06,3217.334961,3234.663086,3215.066895,3233.865967,3233.865967,156100.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-03-07,3233.093994,3242.658936,3226.822021,3242.406006,3242.406006,164100.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
2017-03-08,3240.531982,3245.303955,3230.60791,3240.665039,3240.665039,160700.0,000001.SS,Shanghai Composite,China,CNY,Yahoo Finance chart API
